id,edition,price,title,year,author_id,publisher_id
1,3,530.7,elementum in hac habitasse platea,2005,118,51
2,7,122.62,porta,2013,103,172
3,2,256.68,id mauris,1995,36,95
4,6,225.95,et tempus semper est quam,2001,5,33
5,4,689.88,vulputate nonummy maecenas tincidunt,2012,56,143
6,6,364.09,pede libero quis orci nullam,2003,196,32
7,5,381.75,sed lacus morbi sem,2003,95,199
8,2,205.84,neque vestibulum eget vulputate ut,1998,85,81
9,4,676.54,in hac,1998,178,143
10,7,552.35,amet cursus,2005,192,100
11,1,764.66,scelerisque mauris sit amet eros,2019,168,34
12,2,238.72,turpis,2020,183,106
13,6,448.59,eu massa,2003,150,87
14,2,448.37,convallis nunc,2011,165,130
15,3,756.0,volutpat sapien arcu sed augue,2022,124,131
16,2,287.03,orci,2015,47,59
17,1,676.41,consequat lectus in est,2012,3,73
18,1,776.79,id consequat in,2006,37,200
19,7,312.21,duis consequat dui,1994,66,82
20,2,708.31,ut dolor morbi vel,2008,112,190
21,4,510.31,leo pellentesque,2002,117,26
22,5,493.7,convallis,2000,107,192
23,6,465.17,vitae mattis nibh,2019,102,95
24,5,217.91,magna vestibulum aliquet,1997,110,72
25,6,390.81,natoque penatibus et magnis,2018,84,37
26,2,345.6,vel accumsan tellus nisi eu,1994,151,5
27,7,543.29,vel lectus in,2006,168,27
28,1,499.72,dolor sit,2012,34,188
29,3,296.04,commodo vulputate justo in,2014,150,139
30,3,271.56,adipiscing elit proin risus,1996,117,140
31,6,402.92,ligula,2013,110,134
32,3,723.94,ultrices erat tortor,1997,124,135
33,1,339.11,sapien dignissim vestibulum vestibulum ante,2000,156,119
34,2,701.62,donec ut dolor morbi vel,1997,153,74
35,7,615.98,vestibulum,2002,177,88
36,3,524.07,non velit donec diam,2005,154,45
37,1,698.01,nulla,1994,47,177
38,6,447.22,donec ut dolor morbi,1993,71,105
39,6,284.71,mauris eget massa tempor convallis,2008,61,195
40,2,244.68,blandit,1997,91,101
41,1,409.16,consequat varius,2005,178,81
42,6,671.6,consequat varius,2014,170,182
43,7,141.82,mi sit,2009,125,116
44,3,747.11,et commodo vulputate,1998,87,190
45,7,761.62,vivamus metus,2003,76,52
46,1,597.02,id mauris vulputate elementum,2004,23,190
47,6,708.39,est,2016,191,1
48,1,384.07,mauris enim,2006,196,54
49,2,720.0,at,2016,69,196
50,5,499.46,et ultrices posuere cubilia,1994,143,43
51,2,303.51,sed sagittis nam,2000,31,48
52,2,306.88,nunc proin,1991,152,150
53,4,550.98,luctus cum,2005,138,164
54,5,361.75,metus aenean fermentum donec,1990,23,6
55,1,421.26,sed justo pellentesque viverra,2021,19,124
56,3,615.02,in imperdiet et,2020,155,8
57,7,709.55,morbi non quam nec dui,2021,11,155
58,3,502.13,id ligula suspendisse ornare,2014,138,72
59,7,284.43,curae mauris viverra diam vitae,2011,115,27
60,7,461.57,duis bibendum felis sed interdum,1998,192,61
61,6,798.84,nec dui,2011,31,63
